name,id,type_code,total_units,floors,top_month,top_year,tenure,district_code,postcode,streetname,ura_key,transaction_psf,nearest_mrt_distance,enbloc,enbloc_date
253 YISHUN RING ROAD,12631,HDB,,0,,,L99,D27,760253,Yishun Ring Road,Yishun Ring Road,378.24507617986,0.87,0,
254 YISHUN RING ROAD,12632,HDB,,0,,,L99,D27,760254,Yishun Ring Road,Yishun Ring Road,389.85785953177,0.85,0,
255 YISHUN RING ROAD,12633,HDB,,0,,,L99,D27,760255,Yishun Ring Road,Yishun Ring Road,393.72909698997,0.83,0,
256 YISHUN RING ROAD,12634,HDB,,0,,,L99,D27,760256,Yishun Ring Road,Yishun Ring Road,344.46952805648,0.74,0,
257 YISHUN RING ROAD,12635,HDB,,0,,,L99,D27,760257,Yishun Ring Road,Yishun Ring Road,414.74266072092,0.74,0,
258 YISHUN STREET 22,12800,HDB,,0,,,L99,D27,760258,Yishun Street 22,Yishun Street 22,278.07506503159,0.81,0,
259 YISHUN STREET 22,12801,HDB,,0,,,L99,D27,760259,Yishun Street 22,Yishun Street 22,409.21218877741,0.75,0,
260 YISHUN STREET 22,12802,HDB,,0,,,L99,D27,760260,Yishun Street 22,Yishun Street 22,376.03307320699,0.79,0,
261 YISHUN STREET 22,12803,HDB,,0,,,L99,D27,760261,Yishun Street 22,Yishun Street 22,257.69323671498,0.75,0,
262 YISHUN STREET 22,12804,HDB,,0,,,L99,D27,760262,Yishun Street 22,Yishun Street 22,384.88108509848,0.85,0,
263 YISHUN STREET 22,12805,HDB,,0,,,L99,D27,760263,Yishun Street 22,Yishun Street 22,339.45094760312,0.88,0,
264 YISHUN STREET 22,12806,HDB,,0,,,L99,D27,760264,Yishun Street 22,Yishun Street 22,344.8104793757,0.81,0,
265 YISHUN STREET 22,12807,HDB,,0,,,L99,D27,760265,Yishun Street 22,Yishun Street 22,392.6226309922,0.89,0,
266 YISHUN STREET 22,12808,HDB,,0,,,L99,D27,760266,Yishun Street 22,Yishun Street 22,389.18524712003,0.92,0,
360 YISHUN RING ROAD,12659,HDB,,0,,,L99,D27,760360,Yishun Ring Road,Yishun Ring Road,359.83277591973,1.18,0,
385 YISHUN AVENUE 6,12536,HDB,,0,,,L99,D27,760385,Yishun Avenue 6,Yishun Avenue 6,0,1.38,0,
367 YISHUN RING ROAD,12666,HDB,,0,,,L99,D27,760367,Yishun Ring Road,Yishun Ring Road,336.7707172055,1.09,0,
366 YISHUN RING ROAD,12665,HDB,,0,,,L99,D27,760366,Yishun Ring Road,Yishun Ring Road,349.10070605723,1.17,0,
365 YISHUN RING ROAD,12664,HDB,,0,,,L99,D27,760365,Yishun Ring Road,Yishun Ring Road,330.51746562616,1.11,0,
364 YISHUN RING ROAD,12663,HDB,,0,,,L99,D27,760364,Yishun Ring Road,Yishun Ring Road,281.25232255667,1.03,0,
363 YISHUN RING ROAD,12662,HDB,,0,,,L99,D27,760363,Yishun Ring Road,Yishun Ring Road,351.25882571535,1.08,0,
362 YISHUN RING ROAD,12661,HDB,,0,,,L99,D27,760362,Yishun Ring Road,Yishun Ring Road,397.97287253809,1.08,0,
361 YISHUN RING ROAD,12660,HDB,,0,,,L99,D27,760361,Yishun Ring Road,Yishun Ring Road,334.06633221851,1.19,0,
386 YISHUN RING ROAD,12667,HDB,,0,,,L99,D27,760386,Yishun Ring Road,Yishun Ring Road,321.58491267187,1.26,0,
359 YISHUN RING ROAD,12658,HDB,,0,,,L99,D27,760359,Yishun Ring Road,Yishun Ring Road,291.52081010777,1.19,0,
358 YISHUN RING ROAD,12657,HDB,,0,,,L99,D27,760358,Yishun Ring Road,Yishun Ring Road,229.07376439985,1.21,0,
357 YISHUN RING ROAD,12656,HDB,,0,,,L99,D27,760357,Yishun Ring Road,Yishun Ring Road,351.06373095504,1.25,0,
356 YISHUN RING ROAD,12655,HDB,,0,,,L99,D27,760356,Yishun Ring Road,Yishun Ring Road,328.35562987737,1.22,0,
355 YISHUN RING ROAD,12654,HDB,,0,,,L99,D27,760355,Yishun Ring Road,Yishun Ring Road,327.70345596433,1.16,0,
354 YISHUN RING ROAD,12653,HDB,,0,,,L99,D27,760354,Yishun Ring Road,Yishun Ring Road,392.32395020439,1.19,0,
353 YISHUN RING ROAD,12652,HDB,,0,,,L99,D27,760353,Yishun Ring Road,Yishun Ring Road,395.46265328874,1.17,0,
